doculect	concept	ipa	asjp	cogid	Gold
Hovongan	I	ku	ku	1	
Kereho	I	aʔoŋ	a7oN	1	
Seputan	I	aʔuŋ	a7uN	1	
Aoheng	I	aʔuŋ	a7uN	1	
Sebop (old)	I	aoʔ	ao7	1	
Penan Mubui	I	akəwʔ	ak3w7	1	
Penan Jekitan	I	akəwʔ	ak3w7	1	
Penan Beku	I	akəwʔ	ak3w7	1	
Vo	I	akeʔ	ake7	1	
Pawe	I	akiʔ	aki7	1	
Gah	I	akeʔ	ake7	1	
Laang	I	akeʔ	ake7	1	
Sawa	I	akeʔ	ake7	1	
Tau	I	akeʔ	ake7	1	
Badeng	I	akeʔ	ake7	1	
Lun-Dayeh	I	weh	weh	1	
Kelabit	I	uih	uih	1	
Miri	I	koy	koi	1	
Narum	I	kaw	kaw	1	
Kiput	I	kaw	kaw	1	
Berawan (jeegan)	I	kaw	kaw	1	
Berawan (Terawan)	I	akoh	akoh	1	
SBisaya	I	oku	oku	1	
BrDusun	I	kuʤiʔ	kuji7	1	
LBisaya	I	aku	aku	1	
Lotud	I	oku	oku	1	
Burusu	I	alu	alu	1	
Idaan	I	aku	aku	1	
Seguliud	I	aku	aku	1	
Begak	I	aku	aku	1	
Bonggi	I	ou	ou	1	
Molbog	I	aku	aku	1	
Bulungan	I	aku	aku	1	
Tawoyan	I	aːp	ap	2	
Benuaq	I	aːp	ap	2	
Tunjung	I	ap	ap	2	
Punan Tuvu'	I	ho͂k	hok	3	
Beketan	I	hõk	hok	3	
Punan Lisum	I	ʤɘk	j3k	4	3
Ukit	I	ʤək	j3k	4	3
Buket	I	ʤɨk	j3k	4	3
Rungus	i	ioku			1
Kadazan Kimanis	i	ʤoʔu			1
Dumpas	i	oku			1
Lingkabau	i	aku			1
Lobu Lanas	i	aku			1
Tatana	i	aku			1
Papar	i	aku			1
Timugon Murut	i	aku			1
Tidung Sumbol	i	dakon			1
Ambalo	Owl	buruŋ antu	buruNantu	1	
Indonesian/Malay	Owl	buruŋ hantu	buruNhantu	1	
Kendayan 2	Owl	buruŋ buak	buruNbuak	1	
Keninjal	Owl	buɣuŋ antu	buxuNantu	1	
Upper Kapuas Iban	Owl	bureə̯ʔ	bure37	1	
Mualang	Owl	buɣoa̯ŋ antu	buxoaNantu	1	
Bakumpai	Owl	buruŋ kambeʔ	buruNkambe7	1	
Molbog	Owl	burkuʔ	burku7	1	
Jangkang	Owl	monoʔ munt	mono7munt	2	
Ribun	Owl	monuʔ muə̯nt	monu7mu3nt	2	
Pangkodan Sanggau	Owl	monuʔ munt	monu7munt	2	
Mpraa	Owl	manawə̯ʔ tao̯ʔ	manaw37tao7	2	1
Long Gelat	Owl	mənək məta	m3n3km3ta	2	
Punan Bah	Owl	ʤane otu	janeotu	2	1
Aoheng	Owl	manoʔ otu	mano7otu	2	1
Maanyan	Owl	maŋkoŋ	maNkoN	3	
Dusun	Owl	maŋkoŋ	maNkoN	3	
Kelai	Owl	mkɒŋ	mkoN	3	
Sekapan	Owl	biŋap	biNap	3	
Beketan	Owl	maŋap	maNap	3	
Ukit	Owl	ukuŋ ateʔ	ukuNate7	3	
Hovongan	Owl	ukuŋ	ukuN	3	
Sebop (old)	Owl	kanooŋ	kanooN	3	
Penan Jekitan	Owl	koŋ	koN	3	
Penan Beku	Owl	koŋ	koN	3	
Kelabit	Owl	əkuŋ	3kuN	3	
Benyadu	Owl	boak	boak	4	
Sungkung	Owl	boboʔ	bobo7	4	
Kapuas	Owl	puŋguk	puNguk	4	
Tawoyan	Owl	paoʔ	pao7	4	
Paser	Owl	paok	paok	4	
Benuaq	Owl	buak	buak	4	
Tunjung	Owl	buak	buak	4	
Ngorek	Owl	wək	w3k	4	
Baram Kayan	Owl	wək	w3k	4	
Apo Kayan Kayan	Owl	wak	wak	4	
PKM	Owl	wək	w3k	4	
Gaai	Owl	əwk	3wk	4	
Dalat Melanau	Owl	ok	ok	4	
Kanowit	Owl	uək	u3k	4	
Kejaman	Owl	uə̯k	u3k	4	
Punan Tuvu'	Owl	tuok	tuok	4	
Buket	Owl	uək	u3k	4	
Seputan	Owl	uok	uok	4	
Penan Mubui	Owl	wək	w3k	4	
Vo	Owl	wək	w3k	4	
Pawe	Owl	wək	w3k	4	
Gah	Owl	wək	w3k	4	
Sawa	Owl	wək	w3k	4	
Tau	Owl	wək	w3k	4	
Badeng	Owl	wək	w3k	4	
Lun-Dayeh	Owl	uək	u3k	4	
Berawan (Terawan)	Owl	wək	w3k	4	
SBisaya	Owl	puok	puok	4	
BrDusun	Owl	puok	puok	4	
LBisaya	Owl	puok	puok	4	
Lotud	Owl	puok	puok	4	
Burusu	Owl	duok	duok	4	
Bulungan	Owl	puok	puok	4	
Apo Kayan Kayan	Owl	manuk wək	manukw3k	5	
Busang	Owl	manuk wək	manukw3k	5	
Lahanan	Owl	təgwəp	t3gw3p	6	
Laang	Owl	tuwəp	tuw3p	6	
Idaan	Owl	korok nitu	koroknitu	7	1
Seguliud	Owl	korok nitu	koroknitu	7	1
Ngaju	Owl	tambulaw	tambulaw	8	
Idaan	Owl	timbarun	timbarun	8	
Begak	Owl	təmbarun	t3mbarun	8	
Golik	Owl	kaŋkuə̯t	kaNku3t	9	
Ribun	Owl	kulaŋ kulik	kulaNkulik	9	
Ketapang	Owl	kuap	kuap	10	
Kiput	Owl	kufəh	kuf3h	10	
Upper Kapuas Iban	Owl	læŋ pipiə̯t	lENpipi3t	11	
Bekati	Owl	bauʔ tagṵː	bau7tagu	12	
Hliboi Bidayuh	Owl	manəwk diluə̯tn	man3wkdilu3tn	13	
Kadorih	Owl	kamiak	kamiak	14	
Punan Lisum	Owl	puret otem	puretotem	15	
Punan Aput	Owl	savut	savut	16	
Kereho	Owl	koñu maam	konumaam	17	
Bonggi	Owl	bohit kuakŋ	bohitkuakN	18	
Rungus	Owl	puvok			4
Kadazan Kimanis	Owl	pufok			4
Dumpas	Owl	duok			4
Lingkabau	Owl	puək			4
Lobu Lanas	Owl	puək			4
Tatana	Owl	puok			4
Papar	Owl	duʔok			4
Timugon Murut	Owl	puok			4
Tidung Sumbol	Owl	puok			4
Taman	above	iboːʰ	iboh	1	
Ambalo	above	i boo	iboo	1	
Dalat Melanau	above	bao̯	bao	1	
Keninjal	above	di atas	diatas	2	
Seberuang	above	ataw	ataw	2	3
Upper Kapuas Iban	above	datas	datas	2	
Mualang	above	di ataw	diataw	2	3
Golik	above	dəʔ atuh	d37atuh	2	3
Kapuas	above	tataw	tataw	2	3
Dusun	above	taʔ entu	ta7entu	2	
Tunjung	above	deʔ muʔ	de7mu7	2	4
Kendayan 2	above	kaʔ atas	ka7atas	3	2
Hliboi Bidayuh	above	ka təu̯h	kat3uh	3	
Sungkung	above	kaʔ tu	ka7tu	3	
Benyadu	above	kasamo	kasamo	4	
Bekati	above	daʔ samuː	da7samu	4	
Jangkang	above	waʔ somu	wa7somu	4	
Ribun	above	ntiŋ somu	ntiNsomu	4	
Pangkodan Sanggau	above	saʔ somu	sa7somu	4	
Basap (Lebo)	above	si amo	siamo	4	
Burusu	above	daʔ sawaʔ	da7sawa7	4	
Kadorih	above	aŋ isuŋ	aNisuN	5	
Kapuas	above	si hunʤun	sihunjun	5	
Bakumpai	above	sihunʤun	sihunjun	5	
Busang	above	haʔ usun	ha7usun	5	
Bahau Saq	above	huʔ hun	hu7hun	5	
Punan Tuvu'	above	aun	aun	5	
Lun-Dayeh	above	yuduŋ	iuduN	5	
Benuaq	above	məmo	m3mo	6	4
Segai Basap	above	mau	mau	6	
Long Gelat	above	ləbiə̯	l3bi3	7	1
Modang woeg helag	above	ləbeya	l3beia	7	1
Punan Bah	above	livuow	livuow	7	1
Kereho	above	beʔ uruʔ	be7uru7	8	
Seputan	above	puru	puru	8	
Aoheng	above	be puru	bepuru	8	
Ngaju	above	ŋambuʔ	Nambu7	9	
Tabalar Basap	above	hambaw	hambaw	9	1
Mpraa	above	ka mpaːo̯	kampao	9	1
Apo Kayan Kayan	above	hoʔ baw	ho7baw	9	1
Gaai	above	kambeə̯w	kambe3w	9	1
Kanowit	above	amaw	amaw	9	1
Kejaman	above	təʔbaw	t37baw	9	1
Lahanan	above	an təbaw	ant3baw	9	1
Beketan	above	toʔ avow	to7avow	9	1
Vo	above	təɓaw	t3paw	9	1
Tau	above	tampaw	tampaw	9	1
Badeng	above	kəmpaw	k3mpaw	9	1
Berawan (Terawan)	above	ki appiəw	kiappi3w	9	1
Maanyan	above	haŋ imeʔ	haNime7	10	
Tawoyan	above	tai moʔ	taimo7	10	4
Punan Lisum	above	nɘ pupuŋ	n3pupuN	11	
Punan Aput	above	soʔ pupuŋ	so7pupuN	11	
Ukit	above	hai lələŋ	hail3l3N	12	
Buket	above	nahai lələn	nahail3l3n	12	
Paser	above	laʔ ombol	la7ombol	13	
Kelai	above	a tutbao̯	atutbao	14	1
Sekapan	above	aʑaw libaw	aZawlibaw	15	1
Hovongan	above	noŋuru	noNuru	16	#NAME?
Taman	adam's apple	ʤakuŋ	jakuN	1	
Ambalo	adam's apple	ʤaxkun	jaxkun	1	
Indonesian/Malay	adam's apple	ʤakun	jakun	1	
Keninjal	adam's apple	ʤakun	jakun	1	
Seberuang	adam's apple	ʤakun	jakun	1	
Mualang	adam's apple	ʤakoən	jako3n	1	
Golik	adam's apple	ʤakutˀn	jakutn	1	
Jangkang	adam's apple	ʤagot	jagot	1	
Pangkodan Sanggau	adam's apple	ʤakun	jakun	1	
Tawoyan	adam's apple	pərəgoŋoŋ	p3r3goNoN	1	
Paser	adam's apple	ʤakun	jakun	1	
Kanowit	adam's apple	bərakuŋ	b3rakuN	1	
Kejaman	adam's apple	bələkuə̯ŋ	b3l3ku3N	1	
Lahanan	adam's apple	tulang bələkoŋ	tulangb3l3koN	1	
Punan Bah	adam's apple	bale kuə̯ŋ	baleku3N	1	
Tau	adam's apple	bəla koroʔ	b3lakoro7	1	
Maanyan	adam's apple	guguruŋan	guguruNan	2	
Dusun	adam's apple	goroŋan	goroNan	2	
Basap (Lebo)	adam's apple	gəroŋ	g3roN	2	
Modang woeg helag	adam's apple	gəhuə̯n	g3hu3n	2	
Gaai	adam's apple	gugɒa̯l	gugoal	2	
Beketan	adam's apple	ŋoŋow	NoNow	3	
Punan Lisum	adam's apple	ŋoŋow	NoNow	3	
Punan Aput	adam's apple	ŋoŋow	NoNow	3	
Upper Kapuas Iban	adam's apple	təkaŋ garam	t3kaNgaram	4	
Bekati	adam's apple	təŋoɣok	t3Noxok	4	
Baram Kayan	adam's apple	təŋak	t3Nak	4	
Penan Mubui	adam's apple	təgorok	t3gorok	4	
Penan Jekitan	adam's apple	təgoroʔ	t3goro7	4	
Penan Beku	adam's apple	təgo roʔ	t3goro7	4	
Lun-Dayeh	adam's apple	təgoʔ	t3go7	4	
Burusu	adam's apple	təlaguk	t3laguk	4	
Kadorih	adam's apple	bokuk tiŋaŋ	bokuktiNaN	5	
Ngaju	adam's apple	boŋkok ogaŋ	boNkokogaN	5	
Vo	adam's apple	bəŋoʔan	b3No7an	5	
Pawe	adam's apple	bəŋuʔ aŋ	b3Nu7aN	5	
Gah	adam's apple	balaŋ uʔaŋ	balaNu7aN	5	
Laang	adam's apple	bəlaŋoʔan	b3laNo7an	5	
Sawa	adam's apple	bəlaŋ uʔaŋ	b3laNu7aN	5	
Tawoyan	adam's apple	bəntənok	b3nt3nok	6	
Ngorek	adam's apple	bəkurok	b3kurok	6	
Busang	adam's apple	bukak	bukak	6	
Long Gelat	adam's apple	bukək	buk3k	6	
Buket	adam's apple	kok	kok	6	
Badeng	adam's apple	bəkorok	b3korok	6	
Hovongan	adam's apple	hok saŋan	hoksaNan	7	
Seputan	adam's apple	uhoŋ soŋan	uhoNsoNan	7	
Aoheng	adam's apple	ohoŋ soŋan	ohoNsoNan	7	
Ketapang	adam's apple	butoh ləlaki	butohl3laki	8	
Hliboi Bidayuh	adam's apple	wakŋ wiə̯tn	wakNwi3tn	9	
Ribun	adam's apple	bigɛʔ kəlupay	bigE7k3lupai	10	
Apo Kayan Kayan	adam's apple	lufeə̯ŋ ŋok	lufe3NNok	11	
Kelai	adam's apple	kalgos	kalgos	12	
Taman	aflame	atutuŋ	atutuN	1	
Ambalo	aflame	atutuŋ	atutuN	1	
Keninjal	aflame	botuʔ	botu7	1	2
Mualang	aflame	tətunu	t3tunu	1	6
Benyadu	aflame	tətinu	t3tinu	1	6
Jangkang	aflame	toticol	totiTol	1	3
Ribun	aflame	puŋkoːʔ	puNko7	1	4
Pangkodan Sanggau	aflame	təticoə̯l	t3tiTo3l	1	3
Ngaju	aflame	bakehuʔ	bakehu7	1	5
Paser	aflame	tunuʔ	tunu7	1	6
Tunjung	aflame	tutuᵏŋ	tutuN	1	
Basap (Lebo)	aflame	tutuŋan	tutuNan	1	
Tabalar Basap	aflame	tutuŋan	tutuNan	1	
Segai Basap	aflame	tutuŋan	tutuNan	1	
Mpraa	aflame	tutuə̯	tutu3	1	
Apo Kayan Kayan	aflame	tutuŋ	tutuN	1	
Busang	aflame	tutuŋ	tutuN	1	
Bahau Saq	aflame	tutuːŋ	tutuN	1	
PKM	aflame	tutuŋ	tutuN	1	
Long Gelat	aflame	təŋ	t3N	1	
Modang woeg helag	aflame	təwᵍŋ	t3wN	1	
Gaai	aflame	ptəwŋ	pt3wN	1	
Kelai	aflame	ptəo̯ŋ	pt3oN	1	
Sekapan	aflame	putuə	putu3	1	
Punan Tuvu'	aflame	tutuŋ	tutuN	1	
Punan Bah	aflame	putuə̯ŋ	putu3N	1	
Beketan	aflame	tutuŋ	tutuN	1	
Punan Lisum	aflame	tutuŋ	tutuN	1	
Punan Aput	aflame	tutuŋ	tutuN	1	
Ukit	aflame	tutuŋ	tutuN	1	
Buket	aflame	tutuŋ	tutuN	1	
Hovongan	aflame	tutuŋ	tutuN	1	
Kereho	aflame	tutuŋ	tutuN	1	
Seputan	aflame	tutuŋ	tutuN	1	
Aoheng	aflame	tutuŋ	tutuN	1	
Sebop (old)	aflame	pəñuʔ	p3nu7	1	6
Tau	aflame	paŋ lutən	paNlut3n	1	7
Kelabit	aflame	tutud	tutud	1	8
Indonesian/Malay	aflame	tərbakar	t3rbakar	2	9
Kendayan 2	aflame	kabakaran	kabakaran	2	9
Bekati	aflame	tabakaɣ	tabakax	2	9
Upper Kapuas Iban	aflame	aŋuə̯s	aNu3s	3	10
Ribun	aflame	haŋus	haNus	3	10
Vo	aflame	baŋo	baNo	3	10
Kadorih	aflame	paʰpuy	pahpui	4	11
Kapuas	aflame	əpapuy	3papui	4	11
Bakumpai	aflame	təpapuy	t3papui	4	11
Maanyan	aflame	rakit	rakit	5	12
Dusun	aflame	rakit	rakit	5	12
Sungkung	aflame	sau̩	sau	6	13
Golik	aflame	sɔu	sou	6	13
Tawoyan	aflame	soya	soia	6	14
Benuaq	aflame	soya	soia	6	14
Kanowit	aflame	sidəp	sid3p	7	15
Kejaman	aflame	sirəp	sir3p	7	15
Lahanan	aflame	sirəp	sir3p	7	15
Berawan (jeegan)	aflame	coraw	Toraw	7	15
Berawan (Terawan)	aflame	sirəm	sir3m	7	15
Burusu	aflame	sorob	sorob	7	15
Seberuang	aflame	alaʔ	ala7	8	16
Penan Jekitan	aflame	məlaŋ pərok	m3laNp3rok	8	17
Penan Beku	aflame	məlaŋ	m3laN	8	17
Ketapang	aflame	təcəlukot	t3T3lukot	9	3
Hliboi Bidayuh	aflame	luə̩d	lu3d	9	18
Miri	aflame	ʤukat	jukat	9	19
Ngorek	aflame	napi	napi	10	11
Dalat Melanau	aflame	məgəwʔ	m3g3w7	11	20
Penan Mubui	aflame	lutən ʤiʔawŋ	lut3nji7awN	12	7
Lun-Dayeh	aflame	nəsəh	n3s3h	13	21
Benyadu	afraid	buut	buut	1	
Bekati	afraid	buut	buut	1	
Bahau Saq	afraid	bateːʔ	bate7	1	2
Kanowit	afraid	buʔut	bu7ut	1	
Sekapan	afraid	buʔut	bu7ut	1	
Kejaman	afraid	boʔot	bo7ot	1	
Lahanan	afraid	buʔut	bu7ut	1	
Punan Tuvu'	afraid	uʔut	u7ut	1	
Punan Bah	afraid	buʔut	bu7ut	1	
Punan Lisum	afraid	but	but	1	
Buket	afraid	but	but	1	
Miri	afraid	baʔut	ba7ut	1	
Narum	afraid	baʔot	ba7ot	1	
Kiput	afraid	but	but	1	
Kendayan 2	afraid	galiʔ	gali7	2	3
Ketapang	afraid	golak	golak	2	4
Keninjal	afraid	golak	golak	2	4
Jangkang	afraid	golaiʔ	golai7	2	4
Ribun	afraid	goloʔ	golo7	2	4
Pangkodan Sanggau	afraid	golaʔ	gola7	2	4
Burusu	afraid	alaʔ	ala7	2	5
Idaan	afraid	məllaʔ	m3lla7	2	5
Seguliud	afraid	mollaʔ	molla7	2	5
Begak	afraid	pəllaʔ	p3lla7	2	5
Bonggi	afraid	molok	molok	2	5
Kadorih	afraid	mikoh	mikoh	3	6
Ngaju	afraid	mikeh	mikeh	3	6
Kapuas	afraid	mikeh	mikeh	3	6
Bakumpai	afraid	mikeh	mikeh	3	6
Berawan (Terawan)	afraid	bikaʔ	bika7	3	6
Dalat Melanau	afraid	mədud	m3dud	4	7
Penan Jekitan	afraid	məday	m3dai	4	8
Taman	afraid	taut	taut	5	9
Ambalo	afraid	atakut	atakut	5	9
Indonesian/Malay	afraid	takut	takut	5	9
Seberuang	afraid	takut	takut	5	9
Upper Kapuas Iban	afraid	takoə̯t	tako3t	5	9
Mualang	afraid	takoə̯t	tako3t	5	9
Hliboi Bidayuh	afraid	tilu	tilu	5	10
Sungkung	afraid	talu	talu	5	10
Golik	afraid	tɔʀu	toru	5	10
Tawoyan	afraid	takut	takut	5	9
Paser	afraid	takut	takut	5	9
Benuaq	afraid	takut	takut	5	9
Basap (Lebo)	afraid	takut	takut	5	9
Tabalar Basap	afraid	takut	takut	5	9
Segai Basap	afraid	takut	takut	5	9
Ngorek	afraid	takut	takut	5	9
Mpraa	afraid	takawkʷ	takawkw	5	9
Baram Kayan	afraid	takut	takut	5	9
Apo Kayan Kayan	afraid	takut	takut	5	9
PKM	afraid	takut	takut	5	9
Long Gelat	afraid	təkət	t3k3t	5	9
Modang woeg helag	afraid	təkoyt	t3koit	5	9
Gaai	afraid	tkoə̯t	tko3t	5	9
Kelai	afraid	tkuə̯t	tku3t	5	9
Beketan	afraid	maut	maut	5	1
Punan Aput	afraid	avut	avut	5	1
Ukit	afraid	takut	takut	5	9
Hovongan	afraid	tao	tao	5	10
Kereho	afraid	tao	tao	5	10
Seputan	afraid	tao	tao	5	10
Aoheng	afraid	tao	tao	5	10
Vo	afraid	takut	takut	5	9
Pawe	afraid	takut	takut	5	9
Gah	afraid	takut	takut	5	9
Laang	afraid	takut	takut	5	9
Sawa	afraid	takut	takut	5	9
Tau	afraid	takut	takut	5	9
Badeng	afraid	takut	takut	5	9
Lun-Dayeh	afraid	taut	taut	5	9
Kelabit	afraid	taʔut	ta7ut	5	9
Bulungan	afraid	rakat	rakat	5	11
SBisaya	afraid	lumakak	lumakak	6	12
BrDusun	afraid	lamakak	lamakak	6	12
LBisaya	afraid	lamakak	lamakak	6	12
Maanyan	afraid	paheʔey	pahe7ei	7	13
Dusun	afraid	bakoy maleh	bakoimaleh	8	14
Dusun	afraid	bakoy heʔey	bakoihe7ei	9	13
Tunjung	afraid	bihiᵗn	bihin	10	15
Busang	afraid	ʤən təvah	j3nt3vah	11	16
Berawan (jeegan)	afraid	lacəyc	laT3iT	12	17
Lotud	afraid	korosi	korosi	13	18
Molbog	afraid	nogoddook	nogoddook	14	19
Rungus	afraid	rumosiʔ			18
Kadazan Kimanis	afraid	koyosi			18
Dumpas	afraid	rumosi			18
Lingkabau	afraid	lumaaʔ			20
Lobu Lanas	afraid	əlaaʔ			20
Tatana	afraid	nakalaaʔ			20
Papar	afraid	lumahaʔ			20
Timugon Murut	afraid	malaaʔ			20
Tidung Sumbol	afraid	alaaʔ			20
Benyadu	after	ŋalakaʔ	Nalaka7	1	
Bekati	after	nalaka̰ː	nalaka	1	
Hliboi Bidayuh	after	moh	moh	2	
Sungkung	after	mmɨh	mm3h	2	
Basap (Lebo)	after	ŋəmaʔ	N3ma7	2	
Baram Kayan	after	menuh	menuh	2	
Punan Tuvu'	after	anoʔ	ano7	2	
Hovongan	after	lua naʔa	luana7a	2	
Jangkang	after	mosiʔ ñɛn	mosi7nEn	3	
Ribun	after	mosiʔ toː	mosi7to	3	
Pangkodan Sanggau	after	mɔsiʔ nɪn	mosi7nin	3	
Maanyan	after	udiʔ	udi7	4	
Dusun	after	udiʔ	udi7	4	
Kanowit	after	uneh	uneh	4	
Indonesian/Malay	after	selepas	selepas	5	
Ngaju	after	limbas	limbas	5	
Tawoyan	after	opos	opos	5	
Tawoyan	after	pəs	p3s	5	
Benuaq	after	lipas	lipas	5	
Tunjung	after	lempus	lempus	5	
Long Gelat	after	ləpeh	l3peh	5	
Long Gelat	after	ləliə̯	l3li3	5	
Dalat Melanau	after	beh	beh	5	
Kejaman	after	pəŋah	p3Nah	5	
Seputan	after	lʉa	l3a	5	
Pawe	after	ləpək	l3p3k	5	
Gah	after	ləpa	l3pa	5	
Sawa	after	ləpa	l3pa	5	
Lun-Dayeh	after	nəpəŋəh	n3p3N3h	5	
Beketan	after	kəbalum	k3balum	6	
Punan Lisum	after	kəbaɭumɪn	k3baLumin	6	
Sekapan	after	toveəʔ	tove37	7	
Ukit	after	tipəʔ	tip37	7	
Keninjal	after	sətəlah	s3t3lah	8	
Seberuang	after	təlah	t3lah	8	
Upper Kapuas Iban	after	səʔudah	s37udah	8	
Mualang	after	təlah	t3lah	8	
Golik	after	saʤɛh	sajEh	8	
Kadorih	after	sihinday	sihindai	8	
Kapuas	after	səlepah	s3lepah	8	
Bakumpai	after	səhibas	s3hibas	8	
Buket	after	sətəla	s3t3la	8	
Ambalo	after	namina indin	naminaindin	9	
Kendayan 2	after	lakaʔ nian	laka7nian	10	
Mpraa	after	aoh rey	aohrei	11	
Modang woeg helag	after	diə̯ʔ wɒat	di37woat	12	
Kelai	after	ŋaʔ teʸh	Na7teh	13	
Punan Aput	after	kəʤaut	k3jaut	14	
Aoheng	after	ñaŋi	naNi	15	
Penan Jekitan	after	au	au	16	
Vo	after	oʔo	o7o	17	
Burusu	after	sənaiyuno	s3naiiuno	18	
Taman	age	umur	umur	1	
Ambalo	age	umur	umur	1	
Kendayan 2	age	umur	umur	1	
Ketapang	age	umor	umor	1	
Keninjal	age	umoɣ	umox	1	
Seberuang	age	umuɣ	umux	1	
Upper Kapuas Iban	age	umur	umur	1	
Mualang	age	umoɣ	umox	1	
Benyadu	age	omor	omor	1	
Bekati	age	umuɣ	umux	1	
Bekati	age	muɣ	mux	1	
Golik	age	umuʀ	umur	1	
Jangkang	age	umoɣ	umox	1	
Ribun	age	umoh	umoh	1	
Pangkodan Sanggau	age	umoɣə	umox3	1	
Kadorih	age	umur	umur	1	
Ngaju	age	umur	umur	1	
Bakumpai	age	umur	umur	1	
Maanyan	age	umur	umur	1	
Dusun	age	umur	umur	1	
Tawoyan	age	umur	umur	1	
Benuaq	age	umur	umur	1	
Tunjung	age	umuːr	umur	1	
Tabalar Basap	age	umur	umur	1	
Segai Basap	age	umur	umur	1	
Apo Kayan Kayan	age	umun	umun	1	
Busang	age	umur	umur	1	
Bahau Saq	age	umul	umul	1	
Gaai	age	umur	umur	1	
Dalat Melanau	age	umoɣ	umox	1	
Kanowit	age	umul	umul	1	
