doculect	concept	ipa	asjp	cogid	Gold
Taman	.false	salaʔ	sala7	1	
Ambalo	.false	salaʔ	sala7	1	
Kendayan 2	.false	salah	salah	1	
Ketapang	.false	salah	salah	1	
Ketapang	.false	sumbaŋ	sumbaN	1	2
Keninjal	.false	salah	salah	1	
Seberuang	.false	salah	salah	1	
Upper Kapuas Iban	.false	salæh	salEh	1	
Mualang	.false	salah	salah	1	
Benyadu	.false	saraʔ	sara7	1	
Bekati	.false	saɣa̰ː	saxa	1	
Hliboi Bidayuh	.false	salah	salah	1	
Sungkung	.false	salah	salah	1	
Ribun	.false	tosaʔ	tosa7	1	
Kadorih	.false	saɾaʔ	sara7	1	
Ngaju	.false	salaʔ	sala7	1	
Kapuas	.false	salaʔ	sala7	1	
Bakumpai	.false	salaʔ	sala7	1	
Dusun	.false	halaʔ	hala7	1	
Tawoyan	.false	sala	sala	1	
Paser	.false	salaʔ	sala7	1	
Benuaq	.false	salaʔ	sala7	1	
Tunjung	.false	səlaᵗn	s3lan	1	
Basap (Lebo)	.false	salaʔ	sala7	1	
Segai Basap	.false	salah	salah	1	
Mpraa	.false	halaː	hala	1	
Apo Kayan Kayan	.false	halaːʔ	hala7	1	
Busang	.false	halah	halah	1	
Bahau Saq	.false	halaːʔ	hala7	1	
PKM	.false	salah	salah	1	
Long Gelat	.false	səleʔ	s3le7	1	
Gaai	.false	slae̯ʔ	slae7	1	
Kelai	.false	slæʔ	slE7	1	
Sekapan	.false	çaɮaʔ	SaLa7	1	
Kejaman	.false	saɮaʔ	saLa7	1	
Lahanan	.false	saɮaʔ	saLa7	1	
Punan Bah	.false	salaʔ	sala7	1	
Beketan	.false	melaʔ	mela7	1	
Punan Lisum	.false	saɭaʔ	saLa7	1	
Punan Aput	.false	salaʔ	sala7	1	
Ukit	.false	salaʔ	sala7	1	
Buket	.false	salaʔ	sala7	1	
Hovongan	.false	salaʔ	sala7	1	
Kereho	.false	salaʔ	sala7	1	
Seputan	.false	saɾaʔ	sara7	1	
Aoheng	.false	sara	sara	1	
Sebop (old)	.false	salaʔ	sala7	1	
Sawa	.false	palo	palo	1	3
Lun-Dayeh	.false	salaʔ	sala7	1	
Berawan (jeegan)	.false	sala	sala	1	
Burusu	.false	salaʔ	sala7	1	
Golik	.false	sosot	sosot	2	4
Jangkang	.false	tosat	tosat	2	4
Pangkodan Sanggau	.false	tosat	tosat	2	4
Punan Tuvu'	.false	ʤoː	jo	3	5
Taman	I	iak	iak	1	
Ambalo	I	iak	iak	1	
Indonesian/Malay	I	aku	aku	1	
Kendayan 2	I	aku	aku	1	
Ketapang	I	ku	ku	1	
Keninjal	I	aku	aku	1	
Seberuang	I	akú	aku	1	
Upper Kapuas Iban	I	aku	aku	1	
Mualang	I	aku	aku	1	
Benyadu	I	ikin	ikin	1	
Bekati	I	kit	kit	1	
Hliboi Bidayuh	I	ikuʔ	iku7	1	
Sungkung	I	ahkuʔ	ahku7	1	
Golik	I	ɔkuʔ	oku7	1	
Jangkang	I	ɔko	oko	1	
Ribun	I	oko	oko	1	
Pangkodan Sanggau	I	koː	ko	1	
Kadorih	I	aʰkuʔ	ahku7	1	
Ngaju	I	akuʔ	aku7	1	
Kapuas	I	yakuʔ	iaku7	1	
Bakumpai	I	yakuʔ	iaku7	1	
Maanyan	I	aku	aku	1	
Dusun	I	kukiʔ	kuki7	1	
Paser	I	aku	aku	1	
Tunjung	I	akuy	akui	1	
Basap (Lebo)	I	aku	aku	1	
Tabalar Basap	I	aku	aku	1	
Segai Basap	I	aku	aku	1	
Ngorek	I	akoʔ	ako7	1	
Mpraa	I	kao̯ʔ	kao7	1	
Baram Kayan	I	akoy	akoi	1	
Apo Kayan Kayan	I	akuy	akui	1	
Busang	I	akuy	akui	1	
Bahau Saq	I	akiːʔ	aki7	1	
PKM	I	akui	akui	1	
Long Gelat	I	koe̯	koe	1	
Modang woeg helag	I	koe	koe	1	
Gaai	I	koy	koi	1	
Kelai	I	kuy	kui	1	
Dalat Melanau	I	kəo̯	k3o	1	
Kanowit	I	akoʔ	ako7	1	
Sekapan	I	akəw	ak3w	1	
Kejaman	I	akəw	ak3w	1	
Lahanan	I	akaw	akaw	1	
Punan Tuvu'	I	ku	ku	1	
Punan Bah	I	oa̯ʔ	oa7	1	
Punan Aput	I	ok	ok	1	
