doculect	concept	ipa	asjp	cogid	Gold
Kendayan 2	.false	salah	salah	1	
Ketapang	.false	salah	salah	1	
Ketapang	.false	sumbaŋ	sumbaN	1	2
Keninjal	.false	salah	salah	1	
Seberuang	.false	salah	salah	1	
Upper Kapuas Iban	.false	salæh	salEh	1	
Mualang	.false	salah	salah	1	
Benyadu	.false	saraʔ	sara7	1	
Bekati	.false	saɣa̰ː	saxa	1	
Hliboi Bidayuh	.false	salah	salah	1	
Sungkung	.false	salah	salah	1	
Ribun	.false	tosaʔ	tosa7	1	
Kadorih	.false	saɾaʔ	sara7	1	
Ngaju	.false	salaʔ	sala7	1	
Kapuas	.false	salaʔ	sala7	1	
Bakumpai	.false	salaʔ	sala7	1	
Dusun	.false	halaʔ	hala7	1	
Tawoyan	.false	sala	sala	1	
Paser	.false	salaʔ	sala7	1	
Benuaq	.false	salaʔ	sala7	1	
Tunjung	.false	səlaᵗn	s3lan	1	
Basap (Lebo)	.false	salaʔ	sala7	1	
Mpraa	.false	halaː	hala	1	
Apo Kayan Kayan	.false	halaːʔ	hala7	1	
Busang	.false	halah	halah	1	
Bahau Saq	.false	halaːʔ	hala7	1	
Long Gelat	.false	səleʔ	s3le7	1	
Gaai	.false	slae̯ʔ	slae7	1	
Kelai	.false	slæʔ	slE7	1	
Sekapan	.false	çaɮaʔ	SaLa7	1	
Kejaman	.false	saɮaʔ	saLa7	1	
Lahanan	.false	saɮaʔ	saLa7	1	
Punan Bah	.false	salaʔ	sala7	1	
Punan Lisum	.false	saɭaʔ	saLa7	1	
Punan Aput	.false	salaʔ	sala7	1	
Ukit	.false	salaʔ	sala7	1	
Buket	.false	salaʔ	sala7	1	
Hovongan	.false	salaʔ	sala7	1	
Kereho	.false	salaʔ	sala7	1	
Seputan	.false	saɾaʔ	sara7	1	
Aoheng	.false	sara	sara	1	
Sebop (old)	.false	salaʔ	sala7	1	
Sawa	.false	palo	palo	1	3
Lun-Dayeh	.false	salaʔ	sala7	1	
Berawan (jeegan)	.false	sala	sala	1	
Burusu	.false	salaʔ	sala7	1	
Golik	.false	sosot	sosot	2	4
Jangkang	.false	tosat	tosat	2	4
Pangkodan Sanggau	.false	tosat	tosat	2	4
Punan Tuvu'	.false	ʤoː	jo	3	5
Kendayan 2	I	aku	aku	1	
Ketapang	I	ku	ku	1	
Keninjal	I	aku	aku	1	
Seberuang	I	akú	aku	1	
Upper Kapuas Iban	I	aku	aku	1	
Mualang	I	aku	aku	1	
Benyadu	I	ikin	ikin	1	
