doculect	concept	ipa	asjp	cogid	Gold
Bulungan	brain	utok	utok	1	
Punan Lisum	brain	tutup	tutup	2	4
Punan Aput	brain	tutup	tutup	2	4
Rungus	brain	utok			1
Kadazan Kimanis	brain	utok			1
Dumpas	brain	utok			1
Lingkabau	brain	utək			1
Lobu Lanas	brain	utək			1
Tatana	brain	utok			1
Papar	brain	utok			1
Timugon Murut	brain	utok			1
Tidung Sumbol	brain	utok			1
Kendayan 2	branch	dahan	dahan	1	
Ketapang	branch	dohan	dohan	1	
Keninjal	branch	dahan	dahan	1	
Seberuang	branch	dan	dan	1	
Upper Kapuas Iban	branch	dan	dan	1	
Mualang	branch	dan	dan	1	
Benyadu	branch	dahatn	dahatn	1	
Bekati	branch	daat	daat	1	
Hliboi Bidayuh	branch	laʔay	la7ai	1	
Sungkung	branch	daʔatn	da7atn	1	
Golik	branch	daatˀn	daatn	1	
Jangkang	branch	datn	datn	1	
Ribun	branch	daatn	daatn	1	
Pangkodan Sanggau	branch	daan	daan	1	
Kadorih	branch	daan	daan	1	
Ngaju	branch	edan	edan	1	
Kapuas	branch	cabaŋ	TabaN	1	2
Bakumpai	branch	cabaŋ kayuʔ	TabaNkaiu7	1	2
Maanyan	branch	raʔan	ra7an	1	
Dusun	branch	raʔan	ra7an	1	
Paser	branch	cabaŋ	TabaN	1	2
Benuaq	branch	daᵗn kayuʔ	dankaiu7	1	
Tunjung	branch	raᵗn kaʤuʔ	rankaju7	1	
Basap (Lebo)	branch	cakaŋ	TakaN	1	3
Ngorek	branch	laʔan	la7an	1	
Mpraa	branch	laʔãə̯̃	la7a3	1	
Baram Kayan	branch	daʔan	da7an	1	
Apo Kayan Kayan	branch	daʔaːn	da7an	1	
Bahau Saq	branch	daʔaːn	da7an	1	
Gaai	branch	alʔan	al7an	1	
Kelai	branch	lʔæːn	l7En	1	
Dalat Melanau	branch	daʔan	da7an	1	
Kanowit	branch	daʔan	da7an	1	
Kejaman	branch	daʔan kaʑəw	da7ankaZ3w	1	
Lahanan	branch	laʔan kaʤəw	la7ankaj3w	1	
Punan Tuvu'	branch	daʔan	da7an	1	
Punan Bah	branch	daʔan	da7an	1	
Punan Lisum	branch	dan	dan	1	
Ukit	branch	dan	dan	1	
Hovongan	branch	daʔan	da7an	1	
Kereho	branch	daʔan	da7an	1	
Seputan	branch	daʔan	da7an	1	
Aoheng	branch	raʔan	ra7an	1	
Sebop (old)	branch	daʔan	da7an	1	
Penan Mubui	branch	daʔan	da7an	1	
Penan Jekitan	branch	daan	daan	1	
Penan Beku	branch	daan	daan	1	
Vo	branch	laʔan	la7an	1	
Pawe	branch	laʔan	la7an	1	
Gah	branch	daʔan	da7an	1	
Laang	branch	laʔan	la7an	1	
Sawa	branch	daʔan	da7an	1	
Tau	branch	daʔən	da73n	1	
Badeng	branch	daʔan	da7an	1	
Kelabit	branch	daʔan	da7an	1	
Narum	branch	daʔiə̯n	da7i3n	1	
Kiput	branch	din	din	1	
Berawan (jeegan)	branch	dɛʔan	dE7an	1	
Berawan (jeegan)	branch	dæʔan	dE7an	1	
Berawan (Terawan)	branch	diʔən	di73n	1	
SBisaya	branch	raan	raan	1	
BrDusun	branch	raan	raan	1	
LBisaya	branch	raan	raan	1	
Lotud	branch	raʔan	ra7an	1	
Burusu	branch	dan	dan	1	
Idaan	branch	dan	dan	1	
Seguliud	branch	daan	daan	1	
Begak	branch	dan	dan	1	
Bulungan	branch	dan	dan	1	
Busang	branch	haŋat	haNat	2	4
Long Gelat	branch	səŋiə̯t	s3Ni3t	2	4
Modang woeg helag	branch	səŋeat	s3Neat	2	4
Sekapan	branch	səlakaʔ	s3laka7	2	5
Punan Tuvu'	branch	aŋat	aNat	2	4
Punan Aput	branch	saŋaʔ	saNa7	2	4
Buket	branch	soŋaʔ	soNa7	2	4
Lun-Dayeh	branch	raŋət	raN3t	2	4
Bonggi	branch	saŋa	saNa	2	4
Tawoyan	branch	pakak	pakak	3	6
Penan Mubui	branch	kəluhat	k3luhat	4	7
Rungus	branch	raʔan			1
Kadazan Kimanis	branch	yaʔan			1
Dumpas	branch	raan			1
Lingkabau	branch	raan			1
Lobu Lanas	branch	raʔan			1
Tatana	branch	daan			1
Papar	branch	daʔan			1
Timugon Murut	branch	raan			1
Tidung Sumbol	branch	adan			1
Kendayan 2	breast	susuʔ	susu7	1	
Ketapang	breast	susu	susu	1	
Seberuang	breast	susʊu̯	susuu	1	
Upper Kapuas Iban	breast	susu	susu	1	
Mualang	breast	susu	susu	1	
Benyadu	breast	sosoŋ	sosoN	1	
Bekati	breast	susṵː	susu	1	
Hliboi Bidayuh	breast	səu̯h	s3uh	1	
Sungkung	breast	susuh	susuh	1	
Golik	breast	icokˀŋ	iTokN	1	2
Jangkang	breast	n̩cuʔ	nTu7	1	2
Ribun	breast	tisuk	tisuk	1	2
Pangkodan Sanggau	breast	tisúː	tisu	1	2
Kadorih	breast	tusuʔ	tusu7	1	3
Ngaju	breast	tosoʔ	toso7	1	3
Kapuas	breast	tusuʔ	tusu7	1	3
Bakumpai	breast	tusuʔ	tusu7	1	3
Maanyan	breast	umuʔ	umu7	1	4
Dusun	breast	omoʔ	omo7	1	4
Benuaq	breast	susuʔ	susu7	1	
Tunjung	breast	tosoʔ	toso7	1	2
Basap (Lebo)	breast	susuʔ	susu7	1	
Ngorek	breast	tohoʔ	toho7	1	2
Mpraa	breast	tuhuŋ	tuhuN	1	2
Mpraa	breast	tuhuŋ	tuhuN	1	2
Baram Kayan	breast	moʔ	mo7	1	5
Apo Kayan Kayan	breast	moːʔ	mo7	1	5
Busang	breast	moʔ	mo7	1	5
Bahau Saq	breast	huaːt	huat	1	6
Dalat Melanau	breast	susəw	sus3w	1	
Kanowit	breast	soa̯ʔ	soa7	1	
Punan Lisum	breast	isoʔ	iso7	1	
Punan Aput	breast	isow	isow	1	
Ukit	breast	tusu	tusu	1	2
Buket	breast	tusun	tusun	1	2
Hovongan	breast	tusun	tusun	1	2
Kereho	breast	tusun	tusun	1	2
Seputan	breast	tusun	tusun	1	2
Aoheng	breast	tusun	tusun	1	2
SBisaya	breast	susu	susu	1	
BrDusun	breast	susu	susu	1	
LBisaya	breast	susu	susu	1	
Lotud	breast	susu	susu	1	
Idaan	breast	tusu	tusu	1	2
Seguliud	breast	tusu	tusu	1	2
Begak	breast	tusu	tusu	1	2
Bonggi	breast	duduʔ	dudu7	1	3
Bulungan	breast	suse	suse	1	
Long Gelat	breast	wɛyʔ	wEi7	2	7
Modang woeg helag	breast	wəyʔ	w3i7	2	7
Gaai	breast	geyʔ	gei7	2	7
Kelai	breast	giʔ	gi7	2	7
Tawoyan	breast	tete	tete	3	8
Paser	breast	teteʔ	tete7	3	8
Sekapan	breast	etayʔ	etai7	3	8
Kejaman	breast	itəyʔ	it3i7	3	8
Lahanan	breast	itiʔ	iti7	3	8
Punan Tuvu'	breast	otah	otah	3	9
Punan Bah	breast	ota	ota	3	9
Sebop (old)	breast	iti	iti	3	8
Penan Mubui	breast	eteʔ	ete7	3	8
Penan Jekitan	breast	etiʔ	eti7	3	8
Penan Beku	breast	etiʔ	eti7	3	8
Vo	breast	iteʔ	ite7	3	8
Pawe	breast	iteʔ	ite7	3	8
Gah	breast	iteʔ	ite7	3	8
Laang	breast	iteʔ	ite7	3	8
Sawa	breast	iteʔ	ite7	3	8
Tau	breast	iteʔ	ite7	3	8
Badeng	breast	iteʔ	ite7	3	8
Lun-Dayeh	breast	itiʔ	iti7	3	8
Kelabit	breast	itiʔ	iti7	3	8
Miri	breast	titayʔ	titai7	3	8
Narum	breast	titayʔ	titai7	3	8
Kiput	breast	titayʔ	titai7	3	8
Berawan (Terawan)	breast	iteʔ	ite7	3	8
Burusu	breast	titiʔ	titi7	3	8
Keninjal	breast	nɛnɛn	nEnEn	5	11
Rungus	breast	susu			1
Kadazan Kimanis	breast	susu			1
Dumpas	breast	titiʔ			8
Lingkabau	breast	titiʔ			8
Lobu Lanas	breast	titiʔ			8
Tatana	breast	titiʔ			8
Papar	breast	titiʔ			8
Timugon Murut	breast	titiʔ			8
Tidung Sumbol	breast	titiʔ			8
Ketapang	breathe	bərosah	b3rosah	1	
Keninjal	breathe	bənapas	b3napas	1	
Mualang	breathe	bəñuan	b3nuan	1	2
Hliboi Bidayuh	breathe	napas	napas	1	
Burusu	breathe	pən͂awo	p3nawo	1	3
Kapuas	breathe	mənəhaŋseŋ	m3n3haNseN	2	4
Bakumpai	breathe	mənəhaŋseŋ	m3n3haNseN	2	4
Kendayan 2	breathe	bəseŋat	b3seNat	3	
Seberuang	breathe	aoh pən͂aan	aohp3naan	3	
Upper Kapuas Iban	breathe	bəsəpuə̯t	b3s3pu3t	3	
Benyadu	breathe	manseŋat	manseNat	3	
Bekati	breathe	ñiŋat	niNat	3	
Sungkung	breathe	baʔ masɨkŋ	ba7mas3kN	3	4
Golik	breathe	ŋasɘkˀŋ	Nas3kN	3	4
Jangkang	breathe	poŋasakŋ	poNasakN	3	4
Ribun	breathe	noheʔ pəŋasaŋ	nohe7p3NasaN	3	4
Pangkodan Sanggau	breathe	ŋasaŋ	NasaN	3	4
Kadorih	breathe	nahasoŋ	nahasoN	3	4
Ngaju	breathe	nahaseŋ	nahaseN	3	4
Tawoyan	breathe	bəseŋat	b3seNat	3	
Paser	breathe	kəmesoŋ	k3mesoN	3	
Benuaq	breathe	ŋasaᵏŋ	NasaN	3	4
Tunjung	breathe	ŋasəᵏŋ	Nas3N	3	4
Basap (Lebo)	breathe	ŋələŋasən	N3l3Nas3n	3	4
Ngorek	breathe	ŋəŋan	N3Nan	3	4
Mpraa	breathe	ŋəhŋãə̯̃	N3hNa3	3	4
Baram Kayan	breathe	ŋahaŋan	NahaNan	3	4
Apo Kayan Kayan	breathe	hŋan	hNan	3	4
Busang	breathe	ŋəhəŋan	N3h3Nan	3	4
Long Gelat	breathe	ŋətniə̯n	N3tni3n	3	4
Modang woeg helag	breathe	ŋət n͂eə̯ŋ	N3tne3N	3	4
Gaai	breathe	ŋasŋan	NasNan	3	4
Kelai	breathe	nalasŋan	nalasNan	3	4
Sekapan	breathe	palaçət	palaS3t	3	5
Punan Tuvu'	breathe	ŋəluŋoh	N3luNoh	3	6
Punan Bah	breathe	paʔ iŋat	pa7iNat	3	7
Punan Bah	breathe	ʤəmesat iŋat	j3mesatiNat	3	7
Punan Lisum	breathe	ŋəhiŋat	N3hiNat	3	7
Punan Aput	breathe	ñəlenat	n3lenat	3	7
Ukit	breathe	ŋəhiŋat	N3hiNat	3	7
Buket	breathe	ŋəhiŋat	N3hiNat	3	7
Hovongan	breathe	ŋosaŋan	NosaNan	3	4
Kereho	breathe	ŋohɛ́ŋat	NohENat	3	7
Seputan	breathe	ŋosoŋan	NosoNan	3	4
Aoheng	breathe	ŋəsovaŋ	N3sovaN	3	4
Sebop (old)	breathe	lacət	laT3t	3	5
Penan Jekitan	breathe	miŋaʔ lasit	miNa7lasit	3	5
Penan Beku	breathe	ŋəlasət	N3las3t	3	5
Vo	breathe	ŋalasət	Nalas3t	3	5
Pawe	breathe	ŋəlasət	N3las3t	3	5
Gah	breathe	ŋəlasət	N3las3t	3	5
Laang	breathe	ŋalasət	Nalas3t	3	5
Sawa	breathe	ŋəlasət	N3las3t	3	5
Tau	breathe	ŋəlasət	N3las3t	3	5
Badeng	breathe	ŋəlasət	N3las3t	3	5
Berawan (jeegan)	breathe	ŋətəcɪn	N3t3Tin	3	8
Berawan (Terawan)	breathe	təcin	t3Tin	3	8
Dalat Melanau	breathe	pəbuːt	p3but	4	9
Kanowit	breathe	pəbuhut	p3buhut	4	9
Penan Mubui	breathe	ñebot	nebot	4	9
Lun-Dayeh	breathe	iat	iat	5	10
Kelabit	breathe	iat	iat	5	10
Maanyan	breathe	mihewuk	mihewuk	6	11
Dusun	breathe	mahevuk	mahevuk	6	11
Bahau Saq	breathe	həŋŋaːp	h3NNap	7	13
Kejaman	breathe	ʤət səŋah	j3ts3Nah	7	14
Lahanan	breathe	məʤak iək	m3jaki3k	8	15
Miri	breathe	manaʔsaw	mana7saw	9	16
Narum	breathe	patat saw	patatsaw	10	16
Rungus	breathe	pinuhoboʔ			17
Kadazan Kimanis	breathe	pinuhobo			17
Dumpas	breathe	napas			1
Lingkabau	breathe	inawə			18
Lobu Lanas	breathe	pəmuinawə			18
Tatana	breathe	inampusan			18
Papar	breathe	napas			1
Timugon Murut	breathe	maminyawo			18
Tidung Sumbol	breathe	napos			1
Kendayan 2	burry	nubur	nubur	1	
Keninjal	burry	ŋuboɣ	Nubox	1	
Mualang	burry	ŋuboə̯ɣ	Nubo3x	1	
Benyadu	burry	ŋubur	Nubur	1	
Hliboi Bidayuh	burry	kobol	kobol	1	
Sungkung	burry	nalut	nalut	1	2
Golik	burry	ŋubuʀ	Nubur	1	
Jangkang	burry	ŋubuɣə	Nubux3	1	
Pangkodan Sanggau	burry	ŋuboɣə	Nubox3	1	
Kadorih	burry	ŋubur	Nubur	1	
Ngaju	burry	ŋavuk	Navuk	1	3
Ngaju	burry	maŋubur	maNubur	1	
Bakumpai	burry	məŋubur	m3Nubur	1	
Dusun	burry	ŋogaᵍŋ	NogaN	1	4
Tawoyan	burry	ŋuləʔ	Nul37	1	5
Paser	burry	kənubur	k3nubur	1	
Benuaq	burry	ŋəlubəᵏŋ	N3lub3N	1	6
Tunjung	burry	ŋubuːr	Nubur	1	
Busang	burry	ŋubur	Nubur	1	
Bahau Saq	burry	ŋaleːʔ	Nale7	1	7
Buket	burry	kubur ?	kubur	1	
Kereho	burry	ŋubur	Nubur	1	
Aoheng	burry	məŋubur	m3Nubur	1	
SBisaya	burry	momoloboŋ	momoloboN	1	6
BrDusun	burry	ŋoloboŋ	NoloboN	1	6
BrDusun	burry	loboŋon	loboNon	1	6
LBisaya	burry	ŋoloboŋ	NoloboN	1	6
Lotud	burry	momoloboŋ	momoloboN	1	6
Seguliud	burry	bakubur	bakubur	1	
Bonggi	burry	lobokŋ	lobokN	1	6
Bulungan	burry	kənubur	k3nubur	1	
Ribun	burry	masah	masah	2	8
Maanyan	burry	masar	masar	2	8
Maanyan	burry	ipasar	ipasar	2	8
Seputan	burry	pasaʔ	pasa7	2	8
Seberuang	burry	nimbuə̯n	nimbu3n	3	9
Bekati	burry	namaʔ	nama7	3	10
Basap (Lebo)	burry	nəmaʔ	n3ma7	3	10
Apo Kayan Kayan	burry	ñafun	nafun	3	9
Gaai	burry	naphaʔ	napha7	3	13
Punan Lisum	burry	namɛn	namEn	3	14
Hovongan	burry	naran	naran	3	15
Penan Mubui	burry	tavun	tavun	3	9
Ketapang	burry	məmondam	m3mondam	4	16
Ketapang	burry	pondam	pondam	4	16
Upper Kapuas Iban	burry	mənám	m3nam	4	16
Kapuas	burry	məŋaliʔ	m3Nali7	4	17
Ngorek	burry	nanəm	nan3m	4	16
Mpraa	burry	lanaːm	lanam	4	16
Baram Kayan	burry	nanəm	nan3m	4	16
Long Gelat	burry	nənaːm	n3nam	4	16
Modang woeg helag	burry	ŋəndaːᵇm	N3ndam	4	16
Kanowit	burry	ninəm	nin3m	4	16
Sekapan	burry	mənanəm	m3nan3m	4	16
Kejaman	burry	nanəm	nan3m	4	16
Lahanan	burry	nanəm	nan3m	4	16
Punan Bah	burry	mananom	mananom	4	16
Punan Aput	burry	nanom	nanom	4	16
Ukit	burry	nanəm	nan3m	4	16
Penan Jekitan	burry	mənavun	m3navun	4	9
Penan Beku	burry	mənanəm	m3nan3m	4	16
Vo	burry	nanəm	nan3m	4	16
Pawe	burry	nanəm	nan3m	4	16
Gah	burry	nanəm	nan3m	4	16
Laang	burry	nanəm	nan3m	4	16
Sawa	burry	nanəm	nan3m	4	16
Tau	burry	nanəm	nan3m	4	16
Badeng	burry	nanəm	nan3m	4	16
Lun-Dayeh	burry	manəm	man3m	4	16
Kelabit	burry	tanəm	tan3m	4	16
Kiput	burry	mətən	m3t3n	4	17
Berawan (Terawan)	burry	mutəm	mut3m	4	17
Burusu	burry	motoŋ	motoN	4	18
Begak	burry	mənanom	m3nanom	4	16
Bulungan	burry	tənanom	t3nanom	4	16
Kelai	burry	tikæːt	tikEt	5	18
Seputan	burry	icu	iTu	6	19
Penan Mubui	burry	tutup	tutup	7	20
Idaan	burry	gələkkob	g3l3kkob	8	21
Rungus	burry	poloboŋ			6
Kadazan Kimanis	burry	momohoboŋ			6
Dumpas	burry	məŋubur			1
Lingkabau	burry	məŋələbəŋ			6
Lobu Lanas	burry	mənauʔ			22
Tatana	burry	momoloboŋ			6
Papar	burry	moloʔboŋ			6
Timugon Murut	burry	mompoloboŋ			6
Tidung Sumbol	burry	noŋubul			1
Kendayan 2	butterfly	kupukupu	kupukupu	1	
Keninjal	butterfly	kupukupu	kupukupu	1	
Mualang	butterfly	kupukupúː	kupukupu	1	
Golik	butterfly	kupukupu	kupukupu	1	
Pangkodan Sanggau	butterfly	kupukupu	kupukupu	1	
Kadorih	butterfly	kupukupuʔ	kupukupu7	1	
Ngaju	butterfly	kakupuʔ	kakupu7	1	
Kapuas	butterfly	kəkupuʔ	k3kupu7	1	
Basap (Lebo)	butterfly	kupukupu	kupukupu	1	
Maanyan	butterfly	laluᵏŋ	laluN	2	
Dusun	butterfly	laluᵏŋ	laluN	2	
Penan Mubui	butterfly	ləgaŋ	l3gaN	2	3
Penan Jekitan	butterfly	ləgap	l3gap	2	4
Ngorek	butterfly	yap toʔ	iapto7	3	5
Baram Kayan	butterfly	yap toʔ	iapto7	3	5
Busang	butterfly	həñap toʔ	h3napto7	3	5
Punan Tuvu'	butterfly	me a peʔ	meape7	3	6
Benyadu	butterfly	kalabamakŋ	kalabamakN	4	8
Benuaq	butterfly	kələləmaᵏŋ	k3l3l3maN	4	8
Tunjung	butterfly	kələləmaᵏŋ	k3l3l3maN	4	8
Kanowit	butterfly	səbabaŋ	s3babaN	4	8
Sekapan	butterfly	kəmabeə̯	k3mabe3	4	8
Kejaman	butterfly	kəbabeə̯ŋ	k3babe3N	4	8
Lahanan	butterfly	kəbabaŋ	k3babaN	4	8
Punan Lisum	butterfly	kərəbawaŋ	k3r3bawaN	4	8
Punan Aput	butterfly	təlebavaŋ	t3lebavaN	4	8
Ukit	butterfly	kələvavaŋ	k3l3vavaN	4	8
Buket	butterfly	kələvavaŋ	k3l3vavaN	4	8
Hovongan	butterfly	kolovavaŋ	kolovavaN	4	8
Kereho	butterfly	kolobowaŋ	kolobowaN	4	8
Seputan	butterfly	koɾovovaŋ	korovovaN	4	8
Aoheng	butterfly	kərəvovaŋ	k3r3vovaN	4	8
Penan Jekitan	butterfly	kəbavaʔ	k3bava7	4	9
Penan Beku	butterfly	kəbavaʔ	k3bava7	4	9
Kelabit	butterfly	kələləbpaŋ	k3l3l3bpaN	4	8
Narum	butterfly	kələbeə̯ʔ	k3l3be37	4	9
Kiput	butterfly	kəbəpəʔ	k3b3p37	4	9
SBisaya	butterfly	kulimambaŋ	kulimambaN	4	8
BrDusun	butterfly	kalabaŋ	kalabaN	4	8
LBisaya	butterfly	kalabaŋ	kalabaN	4	8
Idaan	butterfly	kələbambaŋ	k3l3bambaN	4	8
Seguliud	butterfly	kalibambaŋ	kalibambaN	4	8
Begak	butterfly	kələbambaŋ	k3l3bambaN	4	8
Bulungan	butterfly	kulitbambeŋ	kulitbambeN	4	8
Ribun	butterfly	bohomakŋ	bohomakN	5	8
Tawoyan	butterfly	bələmaᵍŋ	b3l3maN	5	8
Dalat Melanau	butterfly	bələbɪi̯	b3l3bii	5	8
Sebop (old)	butterfly	baləvaŋ	bal3vaN	5	8
Vo	butterfly	bələvaŋ	b3l3vaN	5	8
Gah	butterfly	bələmbaŋ	b3l3mbaN	5	8
Lun-Dayeh	butterfly	bərəfaŋ	b3r3faN	5	8
Berawan (jeegan)	butterfly	pəlipiŋ	p3lipiN	5	8
Berawan (Terawan)	butterfly	bələppaŋ	b3l3ppaN	5	8
Pawe	butterfly	pəlaki bali	p3lakibali	6	10
Sawa	butterfly	pəlaki bali	p3lakibali	6	10
Tau	butterfly	ulut	ulut	7	11
Badeng	butterfly	ulut	ulut	7	11
Bonggi	butterfly	timpəlala	timp3lala	8	12
Ketapang	butterfly	cugaw	Tugaw	9	14
Upper Kapuas Iban	butterfly	kəsulay	k3sulai	10	15
Bekati	butterfly	sançilak	sanSilak	11	16
Hliboi Bidayuh	butterfly	litia̯ʔ	litia7	12	17
Sungkung	butterfly	maŋan	maNan	13	18
Bakumpai	butterfly	ramarama	ramarama	14	19
Long Gelat	butterfly	ʤup put duə̯	jupputdu3	15	5
Modang woeg helag	butterfly	ʤip poə̯ʔ doe	jippo37doe	16	5
Gaai	butterfly	buŋbaŋkea̯k	buNbaNkeak	17	20
Kelai	butterfly	toŋkdæːm	toNkdEm	18	21
Punan Bah	butterfly	tabegop	tabegop	19	22
Laang	butterfly	suan bali	suanbali	20	10
Lotud	butterfly	iŋkayayabaŋ	iNkaiaiabaN	21	23
Burusu	butterfly	taŋkalayat	taNkalaiat	22	24
Rungus	butterfly	kolibaŋbaŋ			8
Kadazan Kimanis	butterfly	kuhibambaŋ			8
Dumpas	butterfly	koliambaŋ			8
Lingkabau	butterfly	kəlibəmbaŋ			8
Lobu Lanas	butterfly	kəliəmbaŋ			8
Tatana	butterfly	kuliambaŋ			8
Papar	butterfly	kulimambaŋ			8
Timugon Murut	butterfly	sakuliambaŋ			8
Tidung Sumbol	butterfly	kulibambaŋ			8
Gaai	buy	nleə̯w	nle3w	1	
Kelai	buy	nleo̯	nleo	1	
Kendayan 2	buy	mali	mali	2	
Ketapang	buy	məmboli	m3mboli	2	
Keninjal	buy	moli	moli	2	
Seberuang	buy	məley	m3lei	2	
Upper Kapuas Iban	buy	məliː	m3li	2	
Mualang	buy	məmbəlí	m3mb3li	2	
Mualang	buy	məmblí	m3mbli	2	
Benyadu	buy	mari	mari	2	
Bekati	buy	maɣḭː	maxi	2	
Hliboi Bidayuh	buy	mlɪn	mlin	2	
Sungkung	buy	bilitn	bilitn	2	
Golik	buy	miʀih	mirih	2	
Jangkang	buy	miɣis	mixis	2	
Ribun	buy	mihis	mihis	2	
Pangkodan Sanggau	buy	mbɛɣih	mbExih	2	
Kadorih	buy	mõɾ̃ĩʔ	mori7	2	
Ngaju	buy	miliʔ	mili7	2	
Kapuas	buy	məmiliʔ	m3mili7	2	
Bakumpai	buy	məmiliʔ	m3mili7	2	
Maanyan	buy	midi	midi	2	
Dusun	buy	midi	midi	2	
Tawoyan	buy	moliʔ	moli7	2	
Paser	buy	səboliʔ	s3boli7	2	
Benuaq	buy	moliʔ	moli7	2	
Tunjung	buy	məliːʔ	m3li7	2	
Basap (Lebo)	buy	məli	m3li	2	
Ngorek	buy	məleʔ	m3le7	2	
Mpraa	buy	mblayʔ	mblai7	2	
Baram Kayan	buy	bəleʔ	b3le7	2	
Apo Kayan Kayan	buy	məleːʔ	m3le7	2	
Busang	buy	məleʔ	m3le7	2	
Bahau Saq	buy	məleːʔ	m3le7	2	
Long Gelat	buy	ñəlu	n3lu	2	1
Modang woeg helag	buy	ɲəliə̯	53li3	2	1
Dalat Melanau	buy	məley	m3lei	2	
Kanowit	buy	mələy	m3l3i	2	
Kanowit	buy	məley	m3lei	2	
Sekapan	buy	məɮəy	m3L3i	2	
Kejaman	buy	məɮəy	m3L3i	2	
Lahanan	buy	maɮey	maLei	2	
Punan Tuvu'	buy	məniuʔ	m3niu7	2	1
Punan Bah	buy	meliey	meliei	2	
Punan Lisum	buy	moɭi	moLi	2	
Punan Aput	buy	moɭi	moLi	2	
Ukit	buy	mali	mali	2	
Buket	buy	mali	mali	2	
Hovongan	buy	borion á	boriona	2	
Kereho	buy	borion	borion	2	
Vo	buy	məli	m3li	2	
Pawe	buy	bələy	b3l3i	2	
Gah	buy	məli	m3li	2	
Laang	buy	bəli	b3li	2	
Sawa	buy	bəli	b3li	2	
Tau	buy	bəli	b3li	2	
Lun-Dayeh	buy	məlih	m3lih	2	
Kelabit	buy	bəlih	b3lih	2	
Narum	buy	məneə̯y	m3ne3i	2	
Berawan (jeegan)	buy	mələy	m3l3i	2	
Berawan (Terawan)	buy	məlih	m3lih	2	
SBisaya	buy	momoli	momoli	2	
BrDusun	buy	mali	mali	2	
BrDusun	buy	balion	balion	2	
LBisaya	buy	mali	mali	2	
Lotud	buy	momoli	momoli	2	
Burusu	buy	ŋolon	Nolon	2	3
Bonggi	buy	moli	moli	2	
Bulungan	buy	məli	m3li	2	
Bulungan	buy	bənəli	b3n3li	2	
Seputan	buy	nuka	nuka	3	4
Aoheng	buy	nuka	nuka	3	4
Idaan	buy	gədagaŋ	g3dagaN	4	5
Seguliud	buy	gadagaŋ	gadagaN	4	5
Begak	buy	gədagaŋ	g3dagaN	4	5
Ketapang	buy	bəhəhurop	b3h3hurop	5	6
Badeng	buy	ñuaʔ	ua7	6	7
Rungus	buy	dumagaŋ			5
Kadazan Kimanis	buy	momohi			2
Dumpas	buy	moŋoboli			2
Lingkabau	buy	məməli			2
Lobu Lanas	buy	məməli			2
Tatana	buy	mambali			2
Papar	buy	mamali			2
Timugon Murut	buy	maŋalir			8
Tidung Sumbol	buy	oon			9
Kendayan 2	calf	batis	batis	1	
Keninjal	calf	botis	botis	1	
Seberuang	calf	bətiə̯h	b3ti3h	1	
Upper Kapuas Iban	calf	bəteə̯h	b3te3h	1	
Mualang	calf	bətɛs	b3tEs	1	
Benyadu	calf	batis	batis	1	
Bekati	calf	buah batih	buahbatih	1	
Jangkang	calf	bitis	bitis	1	
Ribun	calf	botis	botis	1	
Pangkodan Sanggau	calf	botisʸ	botis	1	
Kadorih	calf	botih	botih	1	
Ngaju	calf	buntis	buntis	1	
Kapuas	calf	batis	batis	1	
Bakumpai	calf	bətis	b3tis	1	
Maanyan	calf	wisis	wisis	1	
Dusun	calf	wisis	wisis	1	
Paser	calf	bonet	bonet	1	
Benuaq	calf	bənteːt	b3ntet	1	
Tunjung	calf	bənteːt	b3ntet	1	
Basap (Lebo)	calf	bətis	b3tis	1	
Ngorek	calf	bəteʔ	b3te7	1	
Baram Kayan	calf	bətih	b3tih	1	
Apo Kayan Kayan	calf	bətih	b3tih	1	
Busang	calf	bəti	b3ti	1	
Bahau Saq	calf	bəteh	b3teh	1	
Long Gelat	calf	həmeyn tae̯h	h3meintaeh	1	
Long Gelat	calf	tɛh	tEh	1	
Modang woeg helag	calf	seᵈn tes	sentes	1	
Kanowit	calf	buaʔ bətəre	bua7b3t3re	1	
Punan Tuvu'	calf	bətin	b3tin	1	
Punan Bah	calf	buruə̯ʔ beti	buru37beti	1	
Punan Lisum	calf	asin bati	asinbati	1	
Punan Aput	calf	hin bətin	hinb3tin	1	
Buket	calf	asin bati	asinbati	1	
Hovongan	calf	boti	boti	1	
Kereho	calf	bonɛt	bonEt	1	2
Seputan	calf	bonet	bonet	1	2
Aoheng	calf	usin bonet	usinbonet	1	2
Sebop (old)	calf	bate	bate	1	
Penan Mubui	calf	bəte	b3te	1	
Penan Jekitan	calf	bəti	b3ti	1	
Penan Beku	calf	bəti	b3ti	1	
Vo	calf	bəte	b3te	1	
Pawe	calf	bəte	b3te	1	
Gah	calf	bəte	b3te	1	
Laang	calf	bəte	b3te	1	
Sawa	calf	bəte	b3te	1	
Tau	calf	bəte	b3te	1	
Badeng	calf	bəte	b3te	1	
Lun-Dayeh	calf	bəti	b3ti	1	
Kelabit	calf	bəti	b3ti	1	
Miri	calf	bətay	b3tai	1	
Narum	calf	bəti	b3ti	1	
Kiput	calf	bəti	b3ti	1	
Berawan (jeegan)	calf	bətiæʔ	b3tiE7	1	
Idaan	calf	butuŋbutuŋ	butuNbutuN	1	3
Idaan	calf	bitis	bitis	1	
Seguliud	calf	bitis	bitis	1	
Begak	calf	bitis	bitis	1	
